message,label
Your A/C XXXX2465 credited with INR 1662.01 on 12-08-25. Ref 177500062594.,0
"INR 2115.95 debited A/c no. XX2329 on 07-01-26 via UPI to BigBazaar. Ref 924587379262. If not you, contact bank.",0
"INR 1069.93 debited A/c no. XX8992 on 21-11-25 via UPI to Reliance Store. Ref 527974381842. If not you, contact bank.",0
"INR 283.9 debited A/c no. XX4730 on 16-02-26 via UPI to Flipkart. Ref 389513921367. If not you, contact bank.",0
INR 2139.26 debited from your account XXXX7231 at Flipkart. Ref 658271840362.,0
INR 4838.19 debited from your account XXXX3901 at Paytm. Ref 770144440424.,0
UPI txn of INR 539.38 successful to Paytm. Ref 382397283213.,0
"INR 1144.78 debited A/c no. XX8872 on 15-11-25 via UPI to Reliance Store. Ref 471140651740. If not you, contact bank.",0
Your A/C XXXX5605 credited with INR 1026.89 on 09-10-25. Ref 815510494615.,0
INR 4934.83 debited from your account XXXX5164 at Amazon. Ref 797562988906.,0
Your account XXXX8905 has been credited with INR 340.72. Ref 451352886028.,0
Your A/C XXXX9356 credited with INR 1501.2 on 26-07-25. Ref 780691284651.,0
"INR 3605.76 debited A/c no. XX9638 on 28-06-25 via UPI to Reliance Store. Ref 519432220440. If not you, contact bank.",0
"INR 578.04 debited A/c no. XX6896 on 31-01-26 via UPI to BigBazaar. Ref 685280035271. If not you, contact bank.",0
INR 1564.89 debited from your account XXXX2560 at BigBazaar. Ref 207673736119.,0
UPI txn of INR 2199.15 successful to Flipkart. Ref 993643666791.,0
INR 2381.98 debited from your account XXXX6301 at Reliance Store. Ref 447430218541.,0
"INR 1772.84 debited A/c no. XX3466 on 22-06-25 via UPI to Flipkart. Ref 746895733560. If not you, contact bank.",0
Your A/C XXXX4633 credited with INR 927.4 on 22-01-26. Ref 975971881149.,0
INR 1294.52 debited from your account XXXX7599 at Flipkart. Ref 268654903352.,0
UPI txn of INR 1453.76 successful to Flipkart. Ref 212610027914.,0
Your A/C XXXX2833 credited with INR 972.05 on 28-07-25. Ref 708806317674.,0
Your account XXXX2854 has been credited with INR 4888.32. Ref 177529116327.,0
Your account XXXX7849 has been credited with INR 90.12. Ref 453444957661.,0
Your account XXXX4491 has been credited with INR 3708.74. Ref 879288593348.,0
"INR 2004.13 debited A/c no. XX3426 on 01-06-25 via UPI to Amazon. Ref 994868624245. If not you, contact bank.",0
UPI txn of INR 4753.56 successful to Paytm. Ref 822461436291.,0
UPI txn of INR 2665.41 successful to Flipkart. Ref 127184064506.,0
Your A/C XXXX7090 credited with INR 396.07 on 25-02-26. Ref 951833825058.,0
UPI txn of INR 4097.25 successful to Amazon. Ref 414528686443.,0
"INR 2664.27 debited A/c no. XX4543 on 21-05-25 via UPI to Paytm. Ref 782578912406. If not you, contact bank.",0
Your A/C XXXX9698 credited with INR 138.78 on 04-04-25. Ref 733053369478.,0
UPI txn of INR 1045.09 successful to Reliance Store. Ref 372081310882.,0
INR 1345.36 debited from your account XXXX5164 at Flipkart. Ref 529840922453.,0
Your account XXXX5334 has been credited with INR 4487.83. Ref 168407615630.,0
Your account XXXX3566 has been credited with INR 3191.77. Ref 209903357718.,0
Your A/C XXXX4382 credited with INR 1844.37 on 15-12-25. Ref 121241169665.,0
"INR 579.28 debited A/c no. XX4025 on 07-10-25 via UPI to Amazon. Ref 383583509854. If not you, contact bank.",0
UPI txn of INR 1165.34 successful to Amazon. Ref 381805214288.,0
"INR 971.07 debited A/c no. XX1601 on 14-07-25 via UPI to Paytm. Ref 217178097649. If not you, contact bank.",0
Your account XXXX3089 has been credited with INR 4089.02. Ref 928042480395.,0
UPI txn of INR 410.34 successful to Paytm. Ref 912406772908.,0
INR 1026.76 debited from your account XXXX8713 at Reliance Store. Ref 537489069665.,0
Your A/C XXXX2770 credited with INR 4951.43 on 10-08-25. Ref 121289991397.,0
INR 514.46 debited from your account XXXX9427 at Amazon. Ref 913209791987.,0
Your account XXXX5065 has been credited with INR 548.68. Ref 556222477151.,0
INR 3820.66 debited from your account XXXX1599 at Paytm. Ref 963936957766.,0
UPI txn of INR 3140.4 successful to Flipkart. Ref 564318737959.,0
"INR 1197.87 debited A/c no. XX3118 on 06-09-25 via UPI to Flipkart. Ref 751622556931. If not you, contact bank.",0
"INR 3213.69 debited A/c no. XX1055 on 21-02-26 via UPI to BigBazaar. Ref 736598250343. If not you, contact bank.",0
Your A/C XXXX9906 credited with INR 313.4 on 15-02-26. Ref 278664411289.,0
UPI txn of INR 1229.42 successful to Amazon. Ref 204945180776.,0
Your A/C XXXX6650 credited with INR 2970.67 on 10-10-25. Ref 784405068137.,0
INR 4365.93 debited from your account XXXX6154 at Amazon. Ref 220379037171.,0
INR 1676.45 debited from your account XXXX4035 at Amazon. Ref 304215530539.,0
Your A/C XXXX9861 credited with INR 2965.63 on 09-06-25. Ref 956324064707.,0
INR 2590.99 debited from your account XXXX3303 at Paytm. Ref 341054190812.,0
Your A/C XXXX7306 credited with INR 3067.92 on 24-05-25. Ref 782269280175.,0
"INR 1817.89 debited A/c no. XX6095 on 23-12-25 via UPI to Paytm. Ref 694602660342. If not you, contact bank.",0
Your account XXXX3578 has been credited with INR 759.15. Ref 211750417550.,0
Your account XXXX8431 has been credited with INR 1767.25. Ref 152164940159.,0
"INR 3426.09 debited A/c no. XX5403 on 25-03-26 via UPI to BigBazaar. Ref 482790413332. If not you, contact bank.",0
"INR 20.81 debited A/c no. XX9787 on 24-04-25 via UPI to Reliance Store. Ref 195755391293. If not you, contact bank.",0
"INR 4182.94 debited A/c no. XX4319 on 27-11-25 via UPI to Amazon. Ref 141331872881. If not you, contact bank.",0
INR 2733.53 debited from your account XXXX5339 at Reliance Store. Ref 437204420762.,0
"INR 4226.17 debited A/c no. XX2679 on 30-06-25 via UPI to Flipkart. Ref 903298946794. If not you, contact bank.",0
INR 726.96 debited from your account XXXX6892 at Amazon. Ref 431317710739.,0
Your account XXXX2448 has been credited with INR 1600.65. Ref 375000672634.,0
UPI txn of INR 4422.63 successful to Flipkart. Ref 732907863699.,0
Your A/C XXXX1181 credited with INR 3069.85 on 24-03-26. Ref 168078796348.,0
UPI txn of INR 4095.84 successful to BigBazaar. Ref 787411777864.,0
"INR 2688.69 debited A/c no. XX6066 on 15-05-25 via UPI to Amazon. Ref 944694703756. If not you, contact bank.",0
INR 1126.06 debited from your account XXXX6439 at Reliance Store. Ref 887738675118.,0
UPI txn of INR 1021.03 successful to Flipkart. Ref 270310440411.,0
UPI txn of INR 1032.89 successful to Amazon. Ref 689594505116.,0
"INR 3019.72 debited A/c no. XX5042 on 28-08-25 via UPI to Flipkart. Ref 370020457400. If not you, contact bank.",0
Your account XXXX5594 has been credited with INR 4245.64. Ref 769480758673.,0
Your account XXXX6529 has been credited with INR 4390.72. Ref 171584522621.,0
"INR 4036.76 debited A/c no. XX9276 on 31-07-25 via UPI to Paytm. Ref 423336626601. If not you, contact bank.",0
INR 62.1 debited from your account XXXX3467 at Amazon. Ref 542139892229.,0
INR 4357.87 debited from your account XXXX1900 at Amazon. Ref 878041511704.,0
INR 2186.79 debited from your account XXXX6404 at Flipkart. Ref 446778904605.,0
Your A/C XXXX8533 credited with INR 2933.17 on 24-09-25. Ref 139923423383.,0
Your account XXXX7523 has been credited with INR 1640.11. Ref 526472327900.,0
UPI txn of INR 4911.14 successful to Reliance Store. Ref 211263719229.,0
Your A/C XXXX6271 credited with INR 2360.91 on 27-01-26. Ref 360298796859.,0
UPI txn of INR 1490.6 successful to BigBazaar. Ref 897222537484.,0
INR 4711.84 debited from your account XXXX5823 at BigBazaar. Ref 786849059800.,0
UPI txn of INR 40.32 successful to BigBazaar. Ref 250632378831.,0
UPI txn of INR 67.45 successful to Amazon. Ref 262939279020.,0
Your account XXXX6860 has been credited with INR 3719.07. Ref 888755584228.,0
"INR 2141.7 debited A/c no. XX6243 on 07-02-26 via UPI to Paytm. Ref 136914601639. If not you, contact bank.",0
INR 4083.15 debited from your account XXXX9225 at Amazon. Ref 359879105936.,0
INR 4689.98 debited from your account XXXX3471 at Reliance Store. Ref 851562967444.,0
Your A/C XXXX2999 credited with INR 1280.59 on 03-10-25. Ref 259136078542.,0
Your A/C XXXX5285 credited with INR 1681.5 on 02-08-25. Ref 357940668214.,0
"INR 3342.46 debited A/c no. XX5796 on 14-06-25 via UPI to Paytm. Ref 130014668982. If not you, contact bank.",0
"INR 782.95 debited A/c no. XX9470 on 17-05-25 via UPI to BigBazaar. Ref 689121905439. If not you, contact bank.",0
INR 3115.46 debited from your account XXXX9442 at BigBazaar. Ref 236220874303.,0
UPI txn of INR 4513.55 successful to Amazon. Ref 295889140868.,0
Your A/C XXXX3398 credited with INR 3757.88 on 16-05-25. Ref 585397220931.,0
Your A/C XXXX3230 credited with INR 797.66 on 29-12-25. Ref 599391531542.,0
"INR 3261.78 debited A/c no. XX8993 on 28-03-25 via UPI to Flipkart. Ref 551698375252. If not you, contact bank.",0
Your account XXXX8455 has been credited with INR 4894.69. Ref 441464456059.,0
INR 293.51 debited from your account XXXX4107 at Reliance Store. Ref 336113251875.,0
Your account XXXX7564 has been credited with INR 4053.29. Ref 853643588110.,0
UPI txn of INR 2824.6 successful to Amazon. Ref 827326293621.,0
Your account XXXX4033 has been credited with INR 80.3. Ref 641283057244.,0
Your account XXXX5797 has been credited with INR 3046.93. Ref 273422794190.,0
"INR 526.56 debited A/c no. XX2487 on 26-07-25 via UPI to Flipkart. Ref 486976002829. If not you, contact bank.",0
UPI txn of INR 1775.68 successful to BigBazaar. Ref 575399134723.,0
"INR 3527.75 debited A/c no. XX9371 on 11-03-26 via UPI to BigBazaar. Ref 690578391071. If not you, contact bank.",0
Your account XXXX5525 has been credited with INR 4425.92. Ref 979541879358.,0
INR 3084.6 debited from your account XXXX9432 at Paytm. Ref 523928231824.,0
UPI txn of INR 320.14 successful to Amazon. Ref 676428261499.,0
UPI txn of INR 2772.84 successful to Flipkart. Ref 273560534201.,0
UPI txn of INR 2501.01 successful to BigBazaar. Ref 155316970348.,0
Your account XXXX9050 has been credited with INR 435.54. Ref 751198219683.,0
"INR 267.49 debited A/c no. XX3134 on 16-09-25 via UPI to Reliance Store. Ref 720573776125. If not you, contact bank.",0
Your account XXXX6645 has been credited with INR 553.04. Ref 976692712338.,0
UPI txn of INR 1304.66 successful to Flipkart. Ref 770517375436.,0
Your A/C XXXX3849 credited with INR 2981.89 on 04-06-25. Ref 357402526165.,0
"INR 747.6 debited A/c no. XX5777 on 02-12-25 via UPI to Paytm. Ref 564610056025. If not you, contact bank.",0
Your A/C XXXX3825 credited with INR 4173.38 on 04-10-25. Ref 314809029061.,0
"INR 3133.91 debited A/c no. XX5859 on 20-02-26 via UPI to Amazon. Ref 786807425948. If not you, contact bank.",0
"INR 141.89 debited A/c no. XX9583 on 05-11-25 via UPI to Reliance Store. Ref 664343049789. If not you, contact bank.",0
INR 1368.57 debited from your account XXXX2360 at Flipkart. Ref 159401299872.,0
UPI txn of INR 1388.73 successful to Reliance Store. Ref 371059548516.,0
Your A/C XXXX5124 credited with INR 1939.48 on 21-01-26. Ref 306226455618.,0
INR 349.71 debited from your account XXXX5594 at Flipkart. Ref 833287024128.,0
INR 4094.4 debited from your account XXXX8134 at Amazon. Ref 296810404102.,0
UPI txn of INR 672.34 successful to BigBazaar. Ref 405792292735.,0
"INR 1421.24 debited A/c no. XX9358 on 28-04-25 via UPI to BigBazaar. Ref 170965896565. If not you, contact bank.",0
INR 1350.36 debited from your account XXXX4033 at Reliance Store. Ref 483515427747.,0
INR 1745.58 debited from your account XXXX7556 at BigBazaar. Ref 543222879357.,0
INR 335.96 debited from your account XXXX8411 at BigBazaar. Ref 401093488033.,0
UPI txn of INR 2585.91 successful to Amazon. Ref 951232588919.,0
Your account XXXX9496 has been credited with INR 2316.32. Ref 964470488735.,0
Your A/C XXXX3754 credited with INR 2128.0 on 18-09-25. Ref 765821353318.,0
Your account XXXX9310 has been credited with INR 1138.97. Ref 488902618928.,0
Your A/C XXXX9396 credited with INR 2772.93 on 15-12-25. Ref 596174262186.,0
Your account XXXX6794 has been credited with INR 810.38. Ref 944996808578.,0
"INR 3528.76 debited A/c no. XX9819 on 13-09-25 via UPI to Reliance Store. Ref 535517703388. If not you, contact bank.",0
INR 4286.88 debited from your account XXXX7166 at BigBazaar. Ref 842036139026.,0
Your account XXXX6748 has been credited with INR 2032.76. Ref 391657896179.,0
