message,label
Your one-time password is 122158. Valid till 06:11.,0
Your OTP for login is 681481. Do not share it with anyone.,0
Your one-time password is 985632. Valid till 06:15.,0
OTP 486404 received for transaction of INR 5883.7.,0
Enter OTP 792572 to proceed with payment of INR 505.24.,0
Your OTP for login is 949982. Do not share it with anyone.,0
OTP 272168 is required to verify your account.,0
Your OTP for login is 439462. Do not share it with anyone.,0
Please use OTP 590221 to confirm your request.,0
Use OTP 179935 to complete your transaction of INR 1518.56. Valid for 5 minutes.,0
OTP 301264 received for transaction of INR 1966.02.,0
Your one-time password is 241747. Valid till 06:13.,0
OTP 311169 is required to verify your account.,0
OTP 134785 for password reset. Do not share with anyone.,0
Please use OTP 479191 to confirm your request.,0
OTP 553049 received for transaction of INR 3343.3.,0
Enter OTP 399422 to proceed with payment of INR 7821.72.,0
Your one-time password is 169907. Valid till 06:12.,0
Your verification code is 855504. It expires in 9 minutes.,0
Use 948615 as your OTP for secure login.,0
Your OTP for login is 346867. Do not share it with anyone.,0
Your OTP for login is 474716. Do not share it with anyone.,0
OTP 700049 received for transaction of INR 4899.35.,0
Use 338624 as your OTP for secure login.,0
Your verification code is 781131. It expires in 4 minutes.,0
OTP 389595 for password reset. Do not share with anyone.,0
Your verification code is 613402. It expires in 5 minutes.,0
Your one-time password is 607544. Valid till 06:16.,0
OTP 137550 received for transaction of INR 2419.85.,0
Your verification code is 433816. It expires in 3 minutes.,0
Your one-time password is 106133. Valid till 06:15.,0
OTP 454432 received for transaction of INR 1422.46.,0
Enter OTP 169396 to proceed with payment of INR 6515.46.,0
Please use OTP 939420 to confirm your request.,0
Your one-time password is 345658. Valid till 06:22.,0
Please use OTP 263300 to confirm your request.,0
Please use OTP 355014 to confirm your request.,0
OTP 155997 is required to verify your account.,0
Your one-time password is 277411. Valid till 06:17.,0
Use OTP 210513 to complete your transaction of INR 7483.38. Valid for 5 minutes.,0
Use OTP 380702 to complete your transaction of INR 1284.79. Valid for 5 minutes.,0
Use OTP 798739 to complete your transaction of INR 8882.1. Valid for 5 minutes.,0
